球員,score,blocks ,steals ,defRebs
Jimmy Butler,27,0,2,3
P.J. Tucker,2,0,0,1
Bam Adebayo,36,3,2,7
Duncan Robinson,6,0,0,0
Kyle Lowry,13,0,1,3
Gabe Vincent,12,0,1,1
Tyler Herro,27,0,0,2
Caleb Martin,0,0,2,7
Dewayne Dedmon,10,0,0,4
Kyle Guy,0,0,0,0
Udonis Haslem,0,0,0,0
Haywood Highsmith,0,0,0,0
Javonte Smart,0,0,0,0
Max Strus,0,0,0,0
Omer Yurtseven,0,0,0,0
Doug McDermott,4,0,0,1
Keita Bates-Diop,22,0,1,11
Zach Collins,5,0,0,4
Devin Vassell,22,1,1,4
Tre Jones,19,0,1,6
Lonnie Walker IV,22,0,0,3
Josh Richardson,10,0,0,1
Jock Landale,14,0,0,0
Joshua Primo,7,0,0,0
Devontae Cacok,4,0,2,4
Joe Wieskamp,0,0,0,0
